pair_id,vuln_row_id,fixed_row_id,vuln_idx,fixed_idx,project,cwe,vuln_pred,fixed_pred,vuln_prob_yes,fixed_prob_yes,pair_outcome
0,0,1,194963,217569,ImageMagick6,CWE-704,0,0,0.4951631426811218,0.4951631426811218,P-B
1,2,3,194989,218785,ImageMagick6,CWE-190,1,1,0.5025405287742615,0.5025405287742615,P-V
2,4,5,194994,218852,tensorflow,CWE-401,0,0,0.49591076374053955,0.49591076374053955,P-B
3,6,7,194996,218933,tensorflow,CWE-476,0,1,0.49871063232421875,0.5006179809570312,P-R
4,8,9,194998,219032,tensorflow,CWE-617,0,0,0.49557507038116455,0.49557507038116455,P-B
5,10,11,195017,219912,gpac,CWE-476,0,0,0.4963989853858948,0.49621590971946716,P-B
6,12,13,195019,219931,tensorflow,CWE-617,0,0,0.4988861083984375,0.4988861083984375,P-B
7,14,15,195022,219947,glewlwyd,CWE-287,1,1,0.5037536025047302,0.5037536025047302,P-V
8,16,17,195023,220021,tensorflow,CWE-190,1,1,0.5027618408203125,0.5027618408203125,P-V
9,18,19,195026,220100,linux,CWE-909,0,0,0.49081528186798096,0.49061697721481323,P-B
10,20,21,195028,220168,tensorflow,CWE-401,0,0,0.4958496689796448,0.4941561818122864,P-B
11,22,23,195029,220201,tensorflow,CWE-125,0,0,0.4970398247241974,0.4970398247241974,P-B
12,24,25,195038,220442,mruby,CWE-476,1,1,0.502685546875,0.5023345947265625,P-V
13,26,27,195039,220449,tensorflow,CWE-354,0,0,0.4996795654296875,0.4996795654296875,P-B
14,28,29,195040,220463,tensorflow,CWE-476,0,0,0.49289751052856445,0.49289751052856445,P-B
15,30,31,195055,220804,tensorflow,CWE-787,0,0,0.499542236328125,0.4998779296875,P-B
16,32,33,195056,220841,tensorflow,CWE-369,0,0,0.4974060654640198,0.4968109428882599,P-B
17,34,35,195059,220909,tensorflow,CWE-617,0,0,0.49333226680755615,0.4932788908481598,P-B
18,36,37,195063,220924,gpac,CWE-476,0,0,0.4930729866027832,0.4930729866027832,P-B
19,38,39,195069,221079,gpac,CWE-120,0,0,0.49163898825645447,0.49108216166496277,P-B
20,40,41,195073,221123,tensorflow,CWE-416,0,0,0.49578866362571716,0.4958496689796448,P-B
