pair_id,vuln_row_id,fixed_row_id,vuln_idx,fixed_idx,project,cwe,vuln_pred,fixed_pred,vuln_prob_yes,fixed_prob_yes,pair_outcome
0,0,1,194963,217569,ImageMagick6,CWE-704,1,1,0.5012664794921875,0.5012664794921875,P-V
1,2,3,194989,218785,ImageMagick6,CWE-190,1,1,0.5042151212692261,0.5042151212692261,P-V
2,4,5,194994,218852,tensorflow,CWE-401,0,0,0.49945068359375,0.49945068359375,P-B
3,6,7,194996,218933,tensorflow,CWE-476,1,1,0.5023422241210938,0.503196656703949,P-V
4,8,9,194998,219032,tensorflow,CWE-617,0,0,0.4996185302734375,0.4996185302734375,P-B
5,10,11,195017,219912,gpac,CWE-476,1,1,0.5107519626617432,0.5107519626617432,P-V
6,12,13,195019,219931,tensorflow,CWE-617,1,1,0.5008468627929688,0.5008468627929688,P-V
7,14,15,195022,219947,glewlwyd,CWE-287,1,1,0.5025596618652344,0.5025596618652344,P-V
8,16,17,195023,220021,tensorflow,CWE-190,1,1,0.5042418241500854,0.5042418241500854,P-V
9,18,19,195026,220100,linux,CWE-909,0,0,0.499481201171875,0.49930572509765625,P-B
10,20,21,195028,220168,tensorflow,CWE-401,1,0,0.5007247924804688,0.4980468451976776,P-C
11,22,23,195029,220201,tensorflow,CWE-125,0,0,0.4986267387866974,0.4986267387866974,P-B
12,24,25,195038,220442,mruby,CWE-476,1,1,0.5070262551307678,0.5066676735877991,P-V
13,26,27,195039,220449,tensorflow,CWE-354,1,1,0.5018730163574219,0.5018730163574219,P-V
14,28,29,195040,220463,tensorflow,CWE-476,0,0,0.4955979585647583,0.4955979585647583,P-B
15,30,31,195055,220804,tensorflow,CWE-787,1,1,0.5018234252929688,0.5014114379882812,P-V
16,32,33,195056,220841,tensorflow,CWE-369,1,1,0.5014381408691406,0.5012435913085938,P-V
17,34,35,195059,220909,tensorflow,CWE-617,0,0,0.49991607666015625,0.49981689453125,P-B
18,36,37,195063,220924,gpac,CWE-476,1,1,0.5005722045898438,0.5005722045898438,P-V
19,38,39,195069,221079,gpac,CWE-120,1,0,0.5001678466796875,0.4996795654296875,P-C
20,40,41,195073,221123,tensorflow,CWE-416,0,1,0.49904632568359375,0.5007247924804688,P-R
21,42,43,195074,221160,gpac,CWE-415,1,1,0.5017852783203125,0.5017852783203125,P-V
22,44,45,195082,221413,linux,CWE-862,1,1,0.5037612318992615,0.5036582350730896,P-V
23,46,47,195083,221428,tensorflow,CWE-617,1,0,0.5000381469726562,0.4987678527832031,P-C
24,48,49,195091,221631,tensorflow,CWE-754,1,1,0.5002822875976562,0.500244140625,P-V
25,50,51,195092,221651,hermes,CWE-843,1,1,0.50146484375,0.50146484375,P-V
26,52,53,195095,221678,e2guardian,CWE-295,0,0,0.499481201171875,0.499481201171875,P-B
27,54,55,195220,222666,tmate-ssh-server,CWE-362,1,1,0.5010833740234375,0.5010833740234375,P-V
28,56,57,195230,222737,pjproject,CWE-125,1,1,0.5011672973632812,0.5011672973632812,P-V
29,58,59,195231,222739,gpac,CWE-476,1,1,0.5010223388671875,0.5010223388671875,P-V
30,60,61,195233,222906,tensorflow,CWE-787,1,1,0.5139572024345398,0.5070262551307678,P-V
31,62,63,195234,222925,tensorflow,CWE-617,1,0,0.5006256103515625,0.49988555908203125,P-C
32,64,65,195237,223089,ImageMagick,CWE-190,1,1,0.5040244460105896,0.5040244460105896,P-V
33,66,67,195264,223368,pcre2,CWE-125,1,1,0.5015029907226562,0.5015029907226562,P-V
34,68,69,195274,223728,tensorflow,CWE-476,1,0,0.5008163452148438,0.49869537353515625,P-C
35,70,71,195291,224153,tensorflow,CWE-908,0,0,0.4986724853515625,0.4987602233886719,P-B
36,72,73,195293,224154,mruby,CWE-476,1,1,0.5035361647605896,0.503532350063324,P-V
37,74,75,195294,224181,tensorflow,CWE-843,1,1,0.5075868964195251,0.5024337768554688,P-V
38,76,77,195295,224192,mruby,CWE-125,1,1,0.5030288100242615,0.5030288100242615,P-V
39,78,79,195296,224208,uWebSockets,CWE-787,0,0,0.49822235107421875,0.49932098388671875,P-B
40,80,81,195308,224277,flatpak,CWE-20,0,0,0.49669650197029114,0.49669650197029114,P-B
41,82,83,195309,224281,squid,CWE-400,1,1,0.5049894452095032,0.5042113065719604,P-V
42,84,85,195328,224472,gpac,CWE-415,0,0,0.49980926513671875,0.49961090087890625,P-B
43,86,87,195331,224570,tensorflow,CWE-843,0,0,0.49903106689453125,0.49903106689453125,P-B
44,88,89,195334,224728,gpac,CWE-415,1,1,0.50274658203125,0.502738893032074,P-V
45,90,91,195340,224862,tensorflow,CWE-190,1,1,0.5027770400047302,0.5027770400047302,P-V
46,92,93,195343,224891,tensorflow,CWE-125,0,0,0.49662405252456665,0.49662405252456665,P-B
47,94,95,195385,224964,flatpak,CWE-276,1,1,0.5049818754196167,0.5049818754196167,P-V
48,96,97,195388,225062,postgres,CWE-522,0,0,0.49864959716796875,0.49864959716796875,P-B
49,98,99,195389,225086,tensorflow,CWE-617,1,1,0.506236732006073,0.5060917735099792,P-V
50,100,101,195391,225125,tensorflow,CWE-190,1,1,0.5010147094726562,0.5010147094726562,P-V
51,102,103,195398,225383,v4l2loopback,CWE-134,1,1,0.5012664794921875,0.5010986328125,P-V
52,104,105,195399,225473,tensorflow,CWE-476,1,1,0.5096499919891357,0.5079548954963684,P-V
53,106,107,195402,225547,tensorflow,CWE-190,1,1,0.5111942887306213,0.5112018585205078,P-V
54,108,109,195403,225552,tensorflow,CWE-190,1,1,0.51754230260849,0.5173565745353699,P-V
55,110,111,195404,225563,tensorflow,CWE-369,1,1,0.502311646938324,0.5035247206687927,P-V
56,112,113,195405,225566,ImageMagick6,CWE-190,1,1,0.5039710402488708,0.5039710402488708,P-V
57,114,115,195409,226029,gpac,CWE-476,1,1,0.5134149789810181,0.5119320154190063,P-V
58,116,117,195410,226433,tensorflow,CWE-476,0,1,0.4998321533203125,0.5029448866844177,P-R
59,118,119,195471,227022,weechat,CWE-476,1,1,0.5039061903953552,0.503745973110199,P-V
60,120,121,195565,228563,hhvm,CWE-119,1,0,0.5010528564453125,0.499053955078125,P-C
61,122,123,195626,229165,qemu,CWE-787,1,1,0.5113505721092224,0.5094898343086243,P-V
62,124,125,195629,229337,tensorflow,CWE-476,1,1,0.5008583068847656,0.5002975463867188,P-V
63,126,127,195665,230302,njs,CWE-703,1,1,0.5027236938476562,0.5027236938476562,P-V
64,128,129,195670,230394,pjproject,CWE-703,1,1,0.5034865736961365,0.5034865736961365,P-V
65,130,131,195691,231012,mruby,CWE-703,1,1,0.5026664137840271,0.5026664137840271,P-V
66,132,133,195692,231048,FreeRTOS-Kernel,CWE-200,0,0,0.4974823296070099,0.498260498046875,P-B
67,134,135,195720,231710,mvfst,CWE-703,1,1,0.5011825561523438,0.5011825561523438,P-V
68,136,137,195740,232289,libjpeg,CWE-703,0,0,0.4996795654296875,0.4996185302734375,P-B
69,138,139,195741,232287,libjpeg,CWE-703,0,0,0.4994964599609375,0.49929049611091614,P-B
70,140,141,195742,232329,gpac,CWE-476,0,0,0.49823763966560364,0.49800875782966614,P-B
71,142,143,195752,232405,tensorflow,CWE-476,1,0,0.5018157958984375,0.49983978271484375,P-C
72,144,145,195768,232839,tensorflow,CWE-703,1,1,0.5025558471679688,0.5018653869628906,P-V
73,146,147,195800,233862,deark,CWE-369,1,1,0.5045431852340698,0.5040663480758667,P-V
74,148,149,195801,233867,php-src,CWE-476,0,0,0.49893951416015625,0.4988861083984375,P-B
75,150,151,195908,234731,linux,CWE-703,0,0,0.49973297119140625,0.4995269775390625,P-B
76,152,153,195909,234875,ImageMagick,CWE-125,1,1,0.5022659301757812,0.5022659301757812,P-V
77,154,155,195954,235642,pjproject,CWE-787,1,1,0.5110684633255005,0.5038222074508667,P-V
78,156,157,195965,235765,tensorflow,CWE-787,1,1,0.5055081844329834,0.5055081844329834,P-V
79,158,159,195984,236125,gpac,CWE-703,1,1,0.5112590789794922,0.5129594206809998,P-V
80,160,161,196276,237885,lsquic,CWE-269,1,1,0.5034484267234802,0.502769410610199,P-V
81,162,163,196316,238322,barebox,CWE-200,1,1,0.5140095949172974,0.5114763975143433,P-V
82,164,165,196328,238803,vim,CWE-416,1,1,0.50128173828125,0.50128173828125,P-V
83,166,167,196578,240276,vim,CWE-787,1,1,0.5078805088996887,0.5079949498176575,P-V
84,168,169,196587,240595,tensorflow,CWE-369,0,0,0.499786376953125,0.499786376953125,P-B
85,170,171,196611,241040,booth,CWE-284,1,1,0.5019606947898865,0.5016555786132812,P-V
86,172,173,196621,241311,mruby,CWE-787,1,1,0.5178985595703125,0.5151311755180359,P-V
87,174,175,196629,241369,tensorflow,CWE-354,1,1,0.5026549696922302,0.5027922987937927,P-V
88,176,177,196689,242619,tensorflow,CWE-703,1,1,0.5076936483383179,0.5084983110427856,P-V
89,178,179,196691,242637,gpac,CWE-703,0,0,0.49800875782966614,0.49800875782966614,P-B
90,180,181,196698,242899,tensorflow,CWE-125,1,1,0.5022735595703125,0.5022735595703125,P-V
91,182,183,196705,242926,tensorflow,CWE-20,1,1,0.5016098022460938,0.5011672973632812,P-V
92,184,185,196790,245140,tensorflow,CWE-703,1,1,0.5031204223632812,0.5031204223632812,P-V
93,186,187,196801,245434,gpac,CWE-703,1,1,0.5002059936523438,0.5002059936523438,P-V
94,188,189,196829,245921,tensorflow,CWE-476,1,1,0.5070071220397949,0.5057103633880615,P-V
95,190,191,196834,246207,tensorflow,CWE-125,1,1,0.513952910900116,0.5135359168052673,P-V
96,192,193,196841,246237,furnace,CWE-703,1,1,0.5028533935546875,0.5028533935546875,P-V
97,194,195,196846,246495,tensorflow,CWE-369,1,1,0.5039023756980896,0.5025519728660583,P-V
98,196,197,196860,246693,gpac,CWE-787,1,1,0.5019454956054688,0.501975953578949,P-V
99,198,199,196885,247290,tensorflow,CWE-703,1,1,0.5002593994140625,0.5031318068504333,P-V
100,200,201,196889,247337,rpm,CWE-284,1,0,0.5055501461029053,0.49983978271484375,P-C
101,202,203,196893,247550,envoy,CWE-362,1,1,0.5014266967773438,0.5014266967773438,P-V
102,204,205,196894,247755,cryptopp,CWE-399,1,0,0.5047110319137573,0.49916839599609375,P-C
103,206,207,196993,249510,libjxl,CWE-369,1,1,0.5018997192382812,0.5018997192382812,P-V
104,208,209,197015,249989,gpac,CWE-476,1,1,0.5013198852539062,0.5018463134765625,P-V
105,210,211,197057,250692,drogon,CWE-552,1,1,0.5063167810440063,0.5067897439002991,P-V
106,212,213,197095,251946,tensorflow,CWE-369,1,1,0.5072207450866699,0.5072207450866699,P-V
107,214,215,197111,252437,tinyexr,CWE-20,1,1,0.5015945434570312,0.5015945434570312,P-V
108,216,217,197128,253515,mruby,CWE-125,1,1,0.5030288100242615,0.5030288100242615,P-V
109,218,219,197135,253699,linux,CWE-703,0,0,0.4981384575366974,0.4981384575366974,P-B
110,220,221,197142,253970,tensorflow,CWE-476,1,1,0.503227174282074,0.500701904296875,P-V
111,222,223,197185,255032,FFmpeg,CWE-252,1,1,0.5018539428710938,0.501983642578125,P-V
112,224,225,197223,255574,njs,CWE-787,1,1,0.503166139125824,0.5031204223632812,P-V
113,226,227,197239,255787,tensorflow,CWE-20,1,1,0.5038833022117615,0.5033683180809021,P-V
114,228,229,197242,255807,tensorflow,CWE-908,1,1,0.5048101544380188,0.5048101544380188,P-V
115,230,231,197247,255932,tensorflow,CWE-369,0,0,0.49875640869140625,0.49875640869140625,P-B
116,232,233,197262,256138,tensorflow,CWE-125,1,1,0.5020904541015625,0.5033950209617615,P-V
117,234,235,197305,256441,pjproject,CWE-200,1,1,0.5071978569030762,0.5004196166992188,P-V
118,236,237,197318,256587,tensorflow,CWE-703,1,1,0.5122017860412598,0.5100751519203186,P-V
119,238,239,197326,256947,tensorflow,CWE-703,1,1,0.5026549696922302,0.5026549696922302,P-V
120,240,241,197359,257461,tensorflow,CWE-703,1,1,0.5044325590133667,0.5044325590133667,P-V
121,242,243,197395,258082,tensorflow,CWE-369,1,1,0.5014724731445312,0.500274658203125,P-V
122,244,245,197466,259081,tensorflow,CWE-476,1,1,0.5030974745750427,0.5031432509422302,P-V
123,246,247,197499,259515,gpac,CWE-416,1,1,0.501678466796875,0.501678466796875,P-V
124,248,249,197511,259619,libjpeg,CWE-787,1,1,0.5039672255516052,0.5040816068649292,P-V
125,250,251,197517,230147,glewlwyd,CWE-787,1,1,0.5041540861129761,0.503807008266449,P-V
126,252,253,197518,259732,tensorflow,CWE-703,1,1,0.5016441345214844,0.50177001953125,P-V
127,254,255,197565,261220,wolfMQTT,CWE-787,1,1,0.5026473999023438,0.5026473999023438,P-V
128,256,257,197593,261769,njs,CWE-416,1,1,0.505931556224823,0.5060879588127136,P-V
129,258,259,197666,262721,njs,CWE-703,1,1,0.5042036771774292,0.5042036771774292,P-V
130,260,261,197719,262803,tensorflow,CWE-125,1,1,0.5046042203903198,0.5046042203903198,P-V
131,262,263,197748,263382,tensorflow,CWE-703,0,0,0.49950408935546875,0.49950408935546875,P-B
132,264,265,197760,263521,tensorflow,CWE-125,1,1,0.5093677639961243,0.5051344037055969,P-V
