sample_key,idx,target,project,cwe,char_len,line_count,memory_api_count,string_api_count,bounds_keyword_count,error_handling_keyword_count,lifecycle_keyword_count,retrieval_top1_score,retrieval_pos_neg_margin_max,retrieval_top1_evidence_role,zero_shot_pred,icl_pred,zero_shot_pred,icl_pred,old_rag_pred,positive_weighted_rag_pred,balanced_grouped_no_label_bc_pred,icl_message_chars,method_pred_entropy
idx:194963,194963,1,ImageMagick6,CWE-704,28188,869,0,2,67,42,0,0.9920761585235596,0.01764601469039917,vulnerable_changed,1,1,1,1,1,1,1,70771,0.0
idx:194989,194989,1,ImageMagick6,CWE-190,1693,75,0,0,4,7,0,0.9854543209075928,0.007056117057800293,vulnerable_changed,1,1,1,1,1,1,1,5445,0.0
idx:218852,218852,0,tensorflow,CWE-401,6781,180,1,0,3,4,3,0.9180470705032349,0.0029757022857666016,vulnerable_context,0,0,0,0,0,0,0,43105,0.954434002924965
idx:218933,218933,0,tensorflow,CWE-476,1491,36,0,0,0,4,0,0.9357309341430664,0.0011392831802368164,vulnerable_context,0,0,0,0,0,0,0,60500,0.0
idx:194998,194998,1,tensorflow,CWE-617,2726,74,1,0,2,11,1,0.9321128129959106,0.0003197789192199707,vulnerable_context,1,1,1,1,1,0,1,10813,0.5435644431995964
idx:195017,195017,1,gpac,CWE-476,455,14,0,0,0,4,0,0.9411735534667969,0.0022899508476257324,vulnerable_changed,1,1,1,1,1,1,1,2625,0.0
idx:195022,195022,1,glewlwyd,CWE-287,10298,141,0,0,0,52,0,0.9502125382423401,0.0025119781494140625,vulnerable_changed,1,1,1,1,1,0,1,28516,0.5435644431995964
idx:195023,195023,1,tensorflow,CWE-190,5831,144,0,0,3,0,1,0.9639583826065063,0.0058106184005737305,vulnerable_changed,1,1,1,1,1,1,1,15525,0.0
idx:195038,195038,1,mruby,CWE-476,877,40,0,0,11,5,0,0.9425991773605347,0.007182121276855469,vulnerable_changed,1,1,1,1,1,0,1,56494,0.5435644431995964
idx:195039,195039,1,tensorflow,CWE-354,3831,83,0,0,0,2,0,0.9582131505012512,0.0006667971611022949,vulnerable_changed,1,1,1,1,1,0,1,31631,0.5435644431995964
